transaction_id,customer_id,timestamp,transaction_amount,merchant_category,transaction_country,transaction_description,is_fraud,description_length,transaction_frequency,consistency_score,entity_has_payment_instruments,entity_has_gift_cards,entity_has_crypto,entity_has_subscriptions,entity_has_refunds,entity_has_P2P,entity_has_digital_goods
TX000029,CUST0125,2025-01-03 05:46:00,9.99,Services,FR,monthly streaming subscription,0,30,17,9,0,0,0,1,0,0,1
TX000030,CUST0119,2025-01-04 06:45:00,123.67,Utilities,FR,utility bill payment,0,20,14,10,0,0,0,1,0,0,0
TX000031,CUST0084,2025-01-04 07:44:00,87.2,Groceries,FR,grocery store visit,0,19,18,10,0,0,0,0,0,0,0
TX000032,CUST0086,2025-01-04 08:09:00,34.9,Pharmacy,FR,pharmacy prescription,0,21,10,10,0,0,0,0,0,0,0
TX000033,CUST0086,2025-01-04 09:56:00,14.5,Restaurants,FR,coffee shop purchase,0,20,10,10,0,0,0,0,0,0,0
TX000034,CUST0125,2025-01-04 10:21:00,7.89,Restaurants,FR,fast food lunch,0,15,17,10,0,0,0,0,0,0,0
TX000035,CUST0163,2025-01-04 11:22:00,56.78,Online Retail,FR,online book order,0,17,10,10,0,0,0,0,0,0,0
TX000036,CUST0118,2025-01-04 12:15:00,42.1,Entertainment,FR,local cinema tickets,0,20,18,10,0,0,0,0,0,0,0
TX000037,CUST0050,2025-01-04 13:19:00,12.05,Restaurants,FR,coffee shop purchase,0,20,16,10,0,0,0,0,0,0,0
TX000038,CUST0170,2025-01-04 14:57:00,9.99,Services,FR,monthly streaming subscription,0,30,16,9,0,0,0,1,0,0,1
TX000039,CUST0088,2025-01-04 15:59:00,60.15,Groceries,FR,grocery store visit,0,19,11,10,0,0,0,0,0,0,0
TX000040,CUST0168,2025-01-05 16:58:00,134.5,Clothing,FR,new shoes purchase,0,18,17,10,0,0,0,0,0,0,0
TX000041,CUST0152,2025-01-05 17:17:00,95.8,Utilities,FR,utility bill payment,0,20,15,10,0,0,0,1,0,0,0
TX000042,CUST0027,2025-01-05 18:19:00,75.3,Restaurants,FR,restaurant dinner,0,17,11,10,0,0,0,0,0,0,0
TX000043,CUST0153,2025-01-05 19:18:00,14.2,Restaurants,FR,fast food lunch,0,15,14,10,0,0,0,0,0,0,0
TX000044,CUST0012,2025-01-05 20:06:00,11.99,Restaurants,FR,coffee shop purchase,0,20,15,10,0,0,0,0,0,0,0
TX000045,CUST0098,2025-01-05 21:58:00,13.78,Fuel,FR,gas station fill-up,0,19,15,10,0,0,0,0,0,0,0
TX000046,CUST0078,2025-01-05 22:17:00,33.6,Pharmacy,FR,pharmacy prescription,0,21,17,10,0,0,0,0,0,0,0
TX000047,CUST0021,2025-01-05 23:17:00,10.99,Services,FR,monthly streaming subscription,0,30,18,9,0,0,0,1,0,0,1
TX000048,CUST0068,2025-01-05 00:09:00,82.5,Groceries,FR,supermarket run,0,15,17,10,0,0,0,0,0,0,0
TX000049,CUST0001,2025-01-05 01:18:00,250.75,Clothing,FR,new shoes purchase,0,18,14,10,0,0,0,0,0,0,0
TX000050,CUST0022,2025-01-06 02:27:00,55.0,Services,FR,haircut service,0,15,12,10,0,0,0,0,0,0,0
TX000051,CUST0061,2025-01-06 03:10:00,134.89,Restaurants,FR,restaurant dinner,0,17,16,10,0,0,0,0,0,0,0
TX000052,CUST0153,2025-01-06 04:13:00,9.99,Services,FR,monthly streaming subscription,0,30,14,9,0,0,0,1,0,0,1
TX000053,CUST0115,2025-01-06 05:48:00,29.99,Online Retail,FR,online book order,0,17,15,10,0,0,0,0,0,0,0
TX000054,CUST0023,2025-01-06 06:22:00,12.5,Restaurants,FR,coffee shop purchase,0,20,19,10,0,0,0,0,0,0,0
TX000055,CUST0069,2025-01-06 07:09:00,88.22,Groceries,FR,grocery store visit,0,19,9,10,0,0,0,0,0,0,0
TX000056,CUST0042,2025-01-06 08:17:00,450.0,Electronics,FR,tech gadget accessory,0,21,9,10,0,0,0,0,0,0,0
TX000057,CUST0180,2025-01-06 09:23:00,1250.67,Luxury Goods,GB,luxury watch order,1,18,11,10,0,0,0,0,0,0,0
TX000058,CUST0142,2025-01-06 10:01:00,11.2,Restaurants,FR,fast food lunch,0,15,15,10,0,0,0,0,0,0,0
TX000059,CUST0039,2025-01-06 11:18:00,140.0,Clothing,FR,clothing store shopping,0,23,13,10,0,0,0,0,0,0,0
TX000060,CUST0093,2025-01-07 12:17:00,10.5,Restaurants,FR,coffee shop purchase,0,20,9,10,0,0,0,0,0,0,0
TX000061,CUST0155,2025-01-07 13:55:00,35.8,Pharmacy,FR,pharmacy prescription,0,21,15,10,0,0,0,0,0,0,0
TX000062,CUST0116,2025-01-07 14:36:00,9.99,Services,FR,monthly streaming subscription,0,30,16,9,0,0,0,1,0,0,1
TX000063,CUST0189,2025-01-07 15:35:00,72.15,Groceries,FR,grocery store visit,0,19,12,10,0,0,0,0,0,0,0
TX000064,CUST0187,2025-01-07 16:34:00,109.99,Utilities,FR,phone bill payment,0,18,11,10,0,0,0,1,0,0,0
TX000065,CUST0021,2025-01-07 17:28:00,15.6,Fuel,FR,gas station fill-up,0,19,18,10,0,0,0,0,0,0,0
TX000066,CUST0181,2025-01-07 18:59:00,299.0,Entertainment,FR,concert ticket booking,0,22,10,10,0,0,0,0,0,0,0
TX000067,CUST0044,2025-01-07 19:17:00,7.99,Restaurants,FR,fast food lunch,0,15,16,10,0,0,0,0,0,0,0
TX000068,CUST0127,2025-01-07 20:19:00,10.99,Services,FR,monthly streaming subscription,0,30,14,9,0,0,0,1,0,0,1
TX000069,CUST0077,2025-01-07 21:47:00,65.43,Groceries,FR,supermarket run,0,15,12,10,0,0,0,0,0,0,0
TX000070,CUST0192,2025-01-08 22:49:00,88.0,Restaurants,FR,restaurant dinner,0,17,16,10,0,0,0,0,0,0,0
TX000071,CUST0197,2025-01-08 23:43:00,11.5,Restaurants,FR,coffee shop purchase,0,20,7,10,0,0,0,0,0,0,0
TX000072,CUST0128,2025-01-08 00:25:00,38.21,Pharmacy,FR,pharmacy prescription,0,21,23,10,0,0,0,0,0,0,0
TX000073,CUST0135,2025-01-08 01:31:00,9.99,Services,FR,monthly streaming subscription,0,30,12,9,0,0,0,1,0,0,1
TX000074,CUST0061,2025-01-08 02:45:00,120.5,Clothing,FR,clothing store shopping,0,23,16,10,0,0,0,0,0,0,0
TX000075,CUST0019,2025-01-08 03:37:00,2345.99,Electronics,US,high-value electronics purchase,1,31,14,10,0,0,0,0,0,0,0
TX000076,CUST0017,2025-01-08 04:44:00,9.99,Services,FR,monthly streaming subscription,0,30,20,9,0,0,0,1,0,0,1
TX000077,CUST0033,2025-01-08 05:26:00,12.8,Restaurants,FR,coffee shop purchase,0,20,12,10,0,0,0,0,0,0,0
TX000078,CUST0146,2025-01-08 06:50:00,76.1,Groceries,FR,grocery store visit,0,19,8,10,0,0,0,0,0,0,0
TX000079,CUST0091,2025-01-08 07:22:00,99.0,Online Retail,FR,online book order,0,17,14,10,0,0,0,0,0,0,0
TX000080,CUST0043,2025-01-09 08:17:00,10.99,Services,FR,monthly streaming subscription,0,30,16,9,0,0,0,1,0,0,1
TX000081,CUST0199,2025-01-09 09:23:00,13.5,Restaurants,FR,coffee shop purchase,0,20,15,10,0,0,0,0,0,0,0
TX000082,CUST0161,2025-01-09 10:39:00,6.75,Restaurants,FR,fast food lunch,0,15,14,10,0,0,0,0,0,0,0
TX000083,CUST0050,2025-01-09 11:16:00,110.25,Utilities,FR,phone bill payment,0,18,16,10,0,0,0,1,0,0,0
TX000084,CUST0089,2025-01-09 12:56:00,44.9,Entertainment,FR,local cinema tickets,0,20,18,10,0,0,0,0,0,0,0
TX000085,CUST0098,2025-01-09 13:27:00,28.5,Fuel,FR,gas station fill-up,0,19,15,10,0,0,0,0,0,0,0
TX000086,CUST0012,2025-01-09 14:45:00,55.67,Groceries,FR,supermarket run,0,15,15,10,0,0,0,0,0,0,0
TX000087,CUST0156,2025-01-09 15:41:00,10.99,Services,FR,monthly streaming subscription,0,30,13,9,0,0,0,1,0,0,1
TX000088,CUST0017,2025-01-09 16:40:00,14.0,Restaurants,FR,coffee shop purchase,0,20,20,10,0,0,0,0,0,0,0
TX000089,CUST0022,2025-01-09 17:55:00,69.9,Clothing,FR,clothing store shopping,0,23,12,10,0,0,0,0,0,0,0
TX000090,CUST0103,2025-01-10 18:59:00,32.5,Pharmacy,FR,pharmacy prescription,0,21,14,10,0,0,0,0,0,0,0
TX000091,CUST0188,2025-01-10 19:48:00,10.99,Services,FR,monthly streaming subscription,0,30,6,9,0,0,0,1,0,0,1
TX000092,CUST0102,2025-01-10 20:55:00,92.1,Utilities,FR,utility bill payment,0,20,16,10,0,0,0,1,0,0,0
TX000093,CUST0010,2025-01-10 21:37:00,13.99,Restaurants,FR,fast food lunch,0,15,9,10,0,0,0,0,0,0,0
TX000094,CUST0137,2025-01-10 22:48:00,12.0,Restaurants,FR,coffee shop purchase,0,20,20,10,0,0,0,0,0,0,0
TX000095,CUST0020,2025-01-10 23:04:00,8.99,Restaurants,FR,fast food lunch,0,15,18,10,0,0,0,0,0,0,0
TX000096,CUST0064,2025-01-10 00:49:00,550.78,Online Retail,DE,international online payment,1,28,18,8,1,0,0,0,0,0,0
TX000097,CUST0110,2025-01-10 01:05:00,10.99,Services,FR,monthly streaming subscription,0,30,13,9,0,0,0,1,0,0,1
TX000098,CUST0140,2025-01-10 02:14:00,399.5,Home Goods,FR,new washing machine,0,19,7,10,0,0,0,0,0,0,0
TX000099,CUST0066,2025-01-10 03:16:00,10.99,Services,FR,monthly streaming subscription,0,30,18,9,0,0,0,1,0,0,1
TX000100,CUST0073,2025-01-11 04:36:00,25.1,Fuel,FR,gas station fill-up,0,19,15,10,0,0,0,0,0,0,0
TX000101,CUST0016,2025-01-11 05:01:00,11.2,Restaurants,FR,coffee shop purchase,0,20,7,10,0,0,0,0,0,0,0
TX000102,CUST0137,2025-01-11 06:35:00,12.99,Restaurants,FR,fast food lunch,0,15,20,10,0,0,0,0,0,0,0
TX000103,CUST0170,2025-01-11 07:51:00,10.99,Services,FR,monthly streaming subscription,0,30,16,9,0,0,0,1,0,0,1
TX000104,CUST0103,2025-01-11 08:47:00,63.8,Groceries,FR,supermarket run,0,15,14,10,0,0,0,0,0,0,0
TX000105,CUST0164,2025-01-11 09:34:00,1500.0,Online Retail,FR,anonymous donation large,1,24,17,4,0,0,0,0,0,0,0
TX000106,CUST0177,2025-01-11 10:05:00,7.5,Restaurants,FR,coffee shop purchase,0,20,18,10,0,0,0,0,0,0,0
TX000107,CUST0142,2025-01-11 11:38:00,20.0,Services,FR,public transport ticket,0,23,15,9,0,0,0,0,0,0,0
TX000108,CUST0156,2025-01-11 12:28:00,10.99,Services,FR,monthly streaming subscription,0,30,13,9,0,0,0,1,0,0,1
TX000109,CUST0159,2025-01-11 13:59:00,100.25,Restaurants,FR,restaurant dinner,0,17,24,10,0,0,0,0,0,0,0
TX000110,CUST0024,2025-01-12 14:44:00,10.99,Services,FR,monthly streaming subscription,0,30,15,9,0,0,0,1,0,0,1
TX000111,CUST0126,2025-01-12 15:30:00,789.23,Services,MX,urgent international wire,1,25,18,8,1,0,0,0,0,1,0
TX000112,CUST0050,2025-01-12 16:35:00,11.0,Restaurants,FR,coffee shop purchase,0,20,16,10,0,0,0,0,0,0,0
TX000113,CUST0087,2025-01-12 17:53:00,34.0,Pharmacy,FR,pharmacy prescription,0,21,13,10,0,0,0,0,0,0,0
TX000114,CUST0128,2025-01-12 18:47:00,9.99,Services,FR,monthly streaming subscription,0,30,23,9,0,0,0,1,0,0,1
TX000115,CUST0078,2025-01-12 19:43:00,345.67,Online Retail,CN,digital asset purchase,1,22,17,8,0,0,1,0,0,0,1
TX000116,CUST0090,2025-01-12 20:47:00,145.0,Clothing,FR,clothing store shopping,0,23,8,10,0,0,0,0,0,0,0
TX000117,CUST0200,2025-01-12 21:36:00,77.0,Groceries,FR,grocery store visit,0,19,10,10,0,0,0,0,0,0,0
TX000118,CUST0096,2025-01-12 22:05:00,450.0,Services,NG,payment processing fee,1,22,13,10,1,0,0,0,0,0,0
TX000119,CUST0069,2025-01-12 23:43:00,10.99,Services,FR,monthly streaming subscription,0,30,9,9,0,0,0,1,0,0,1
TX000120,CUST0151,2025-01-13 00:56:00,12.5,Restaurants,FR,coffee shop purchase,0,20,8,10,0,0,0,0,0,0,0
TX000121,CUST0181,2025-01-13 01:06:00,1999.99,Electronics,US,overseas gadget import,1,22,10,10,0,0,0,0,0,0,0
TX000122,CUST0106,2025-01-13 02:50:00,10.99,Services,FR,monthly streaming subscription,0,30,14,9,0,0,0,1,0,0,1
TX000123,CUST0142,2025-01-13 03:31:00,12.0,Restaurants,FR,coffee shop purchase,0,20,15,10,0,0,0,0,0,0,0
TX000124,CUST0075,2025-01-13 04:12:00,29.8,Fuel,FR,gas station fill-up,0,19,15,10,0,0,0,0,0,0,0
TX000125,CUST0029,2025-01-13 05:39:00,10.99,Services,FR,monthly streaming subscription,0,30,18,9,0,0,0,1,0,0,1
TX000126,CUST0041,2025-01-13 06:52:00,13.5,Restaurants,FR,fast food lunch,0,15,6,10,0,0,0,0,0,0,0
TX000127,CUST0066,2025-01-13 07:37:00,78.99,Groceries,FR,grocery store visit,0,19,18,10,0,0,0,0,0,0,0
TX000128,CUST0138,2025-01-13 08:20:00,3500.0,Services,AE,cryptocurrency transaction,1,26,7,8,0,0,1,0,0,0,0
TX000129,CUST0133,2025-01-13 09:20:00,13.99,Restaurants,FR,fast food lunch,0,15,17,10,0,0,0,0,0,0,0
TX000130,CUST0107,2025-01-14 10:41:00,12.0,Restaurants,FR,coffee shop purchase,0,20,7,10,0,0,0,0,0,0,0
TX000131,CUST0179,2025-01-14 11:41:00,10.99,Services,FR,monthly streaming subscription,0,30,20,9,0,0,0,1,0,0,1
TX000132,CUST0160,2025-01-14 12:46:00,10.99,Services,FR,monthly streaming subscription,0,30,12,9,0,0,0,1,0,0,1
TX000133,CUST0053,2025-01-14 13:04:00,56.78,Services,GB,small online test transaction,1,29,22,7,1,0,0,0,0,0,0
TX000134,CUST0142,2025-01-14 14:44:00,110.0,Utilities,FR,phone bill payment,0,18,15,10,0,0,0,1,0,0,0
TX000135,CUST0091,2025-01-14 15:17:00,30.5,Pharmacy,FR,pharmacy prescription,0,21,14,10,0,0,0,0,0,0,0
TX000136,CUST0129,2025-01-14 16:52:00,10.99,Services,FR,monthly streaming subscription,0,30,19,9,0,0,0,1,0,0,1
TX000137,CUST0023,2025-01-14 17:09:00,899.5,Electronics,CA,high-value electronics purchase,1,31,19,10,0,0,0,0,0,0,0
TX000100,CUST0032,2025-01-11 04:12:00,11.25,Restaurants,CA,Coffee shop purchase,0,20,20,10,0,0,0,0,0,0,0
TX000101,CUST0163,2025-01-11 05:09:00,115.7,Apparel,CA,Apparel store purchase,0,22,10,10,0,0,0,0,0,0,0
TX000102,CUST0063,2025-01-11 06:20:00,34.6,Restaurants,CA,Fast food meal,0,14,9,10,0,0,0,0,0,0,0
TX000103,CUST0178,2025-01-11 07:01:00,1289.5,Luxury Goods,CN,Premium jewelry store order,1,27,13,10,0,0,0,0,0,0,0
TX000104,CUST0154,2025-01-11 08:11:00,105.1,Online Retail,CA,Online book order,0,17,8,10,0,0,0,0,0,0,0
TX000105,CUST0104,2025-01-11 09:12:00,54.3,Gas Station,CA,Gas station fill-up,0,19,12,10,0,0,0,0,0,0,0
TX000106,CUST0112,2025-01-11 10:10:00,68.75,Restaurants,CA,Restaurant dinner with friends,0,30,11,10,0,0,0,0,0,0,0
TX000107,CUST0006,2025-01-11 11:05:00,28.3,Pharmacy,CA,Pharmacy prescription pickup,0,28,14,10,0,0,0,0,0,0,0
TX000108,CUST0093,2025-01-11 12:57:00,83.1,Groceries,CA,Grocery shopping trip,0,21,9,10,0,0,0,0,0,0,0
TX000109,CUST0032,2025-01-11 13:00:00,12.5,Transport,CA,Bus ticket fare,0,15,20,10,0,0,0,0,0,0,0
TX000110,CUST0164,2025-01-12 14:35:00,45.99,Subscriptions,CA,Monthly streaming subscription,0,30,17,10,0,0,0,1,0,0,1
TX000111,CUST0056,2025-01-12 15:23:00,79.2,Groceries,CA,Grocery shopping trip,0,21,10,10,0,0,0,0,0,0,0
TX000112,CUST0058,2025-01-12 16:12:00,145.8,Home Improvement,CA,Hardware store supplies,0,23,9,10,0,0,0,0,0,0,0
TX000113,CUST0032,2025-01-12 17:15:00,55.45,Gas Station,CA,Gas station fill-up,0,19,20,10,0,0,0,0,0,0,0
TX000114,CUST0075,2025-01-12 18:14:00,9.99,Entertainment,CA,Movie ticket purchase,0,21,15,10,0,0,0,0,0,0,0
TX000115,CUST0182,2025-01-12 19:41:00,21.0,Restaurants,CA,Fast food meal,0,14,11,10,0,0,0,0,0,0,0
TX000116,CUST0098,2025-01-12 20:03:00,48.7,Healthcare,CA,Doctor's visit co-pay,0,21,15,10,0,0,0,0,0,0,0
TX000117,CUST0072,2025-01-12 21:31:00,65.2,Groceries,CA,Grocery shopping trip,0,21,8,10,0,0,0,0,0,0,0
TX000118,CUST0105,2025-01-12 22:26:00,34.0,Restaurants,CA,Restaurant dinner with friends,0,30,11,10,0,0,0,0,0,0,0
TX000119,CUST0060,2025-01-12 23:08:00,13.75,Restaurants,CA,Coffee shop purchase,0,20,9,10,0,0,0,0,0,0,0
TX000120,CUST0111,2025-01-13 00:14:00,14.99,Online Retail,GB,Online purchase,1,15,10,10,0,0,0,0,0,0,0
TX000121,CUST0026,2025-01-13 01:45:00,65.8,Groceries,CA,Grocery shopping trip,0,21,13,10,0,0,0,0,0,0,0
TX000122,CUST0153,2025-01-13 02:25:00,850.5,Services,CA,Urgent home repair service,0,26,14,10,0,0,0,0,0,0,0
TX000123,CUST0109,2025-01-13 03:10:00,35.1,Gas Station,CA,Gas station fill-up,0,19,11,10,0,0,0,0,0,0,0
TX000124,CUST0082,2025-01-13 04:01:00,110.2,Online Retail,CA,Online book order,0,17,13,10,0,0,0,0,0,0,0
TX000125,CUST0200,2025-01-13 05:52:00,25.0,Transport,CA,Taxi ride fare,0,14,10,10,0,0,0,0,0,0,0
TX000126,CUST0187,2025-01-13 06:48:00,42.15,Subscriptions,CA,Monthly streaming subscription,0,30,11,10,0,0,0,1,0,0,1
TX000127,CUST0093,2025-01-13 07:09:00,240.5,Apparel,CA,Apparel store purchase,0,22,9,10,0,0,0,0,0,0,0
TX000128,CUST0029,2025-01-13 08:12:00,8.0,Transport,CA,Parking fee payment,0,19,18,10,0,0,0,0,0,0,0
TX000129,CUST0109,2025-01-13 09:36:00,55.6,Groceries,CA,Grocery shopping trip,0,21,11,10,0,0,0,0,0,0,0
TX000130,CUST0133,2025-01-14 10:11:00,12.0,Restaurants,CA,Coffee shop purchase,0,20,17,10,0,0,0,0,0,0,0
TX000131,CUST0171,2025-01-14 11:34:00,75.3,Groceries,CA,Grocery shopping trip,0,21,11,10,0,0,0,0,0,0,0
TX000132,CUST0074,2025-01-14 12:13:00,105.75,Travel,MX,Unusual flight booking,1,22,11,10,0,0,0,0,0,0,0
TX000133,CUST0120,2025-01-14 13:02:00,54.99,Subscriptions,CA,Gym membership renewal,0,22,13,10,0,0,0,1,0,0,0
TX000134,CUST0124,2025-01-14 14:54:00,23.5,Restaurants,CA,Fast food meal,0,14,13,10,0,0,0,0,0,0,0
TX000135,CUST0161,2025-01-14 15:50:00,12.8,Transport,CA,Bus ticket fare,0,15,14,10,0,0,0,0,0,0,0
TX000136,CUST0065,2025-01-14 16:40:00,9.5,Entertainment,CA,Movie ticket purchase,0,21,15,10,0,0,0,0,0,0,0
TX000137,CUST0153,2025-01-14 17:09:00,65.4,Groceries,CA,Grocery shopping trip,0,21,14,10,0,0,0,0,0,0,0
TX000138,CUST0141,2025-01-14 18:39:00,30.0,Transport,CA,Taxi ride fare,0,14,15,10,0,0,0,0,0,0,0
TX000139,CUST0122,2025-01-14 19:11:00,75.0,Groceries,CA,Grocery shopping trip,0,21,17,10,0,0,0,0,0,0,0
TX000140,CUST0002,2025-01-15 20:52:00,18.2,Restaurants,CA,Coffee shop purchase,0,20,9,10,0,0,0,0,0,0,0
TX000141,CUST0183,2025-01-15 21:16:00,58.6,Gas Station,CA,Gas station fill-up,0,19,15,10,0,0,0,0,0,0,0
TX000142,CUST0121,2025-01-15 22:56:00,15.0,Transport,CA,Parking fee payment,0,19,17,10,0,0,0,0,0,0,0
TX000143,CUST0126,2025-01-15 23:03:00,25.5,Restaurants,CA,Fast food meal,0,14,18,10,0,0,0,0,0,0,0
TX000144,CUST0132,2025-01-15 00:47:00,62.1,Groceries,CA,Grocery shopping trip,0,21,16,10,0,0,0,0,0,0,0
TX000145,CUST0013,2025-01-15 01:17:00,120.0,Apparel,CA,Apparel store purchase,0,22,16,10,0,0,0,0,0,0,0
TX000146,CUST0099,2025-01-15 02:16:00,50.0,Healthcare,CA,Doctor's visit co-pay,0,21,9,10,0,0,0,0,0,0,0
TX000147,CUST0167,2025-01-15 03:34:00,250.0,Education,CA,Online course payment,0,21,11,10,0,0,0,0,0,0,1
TX000148,CUST0117,2025-01-15 04:13:00,12.0,Restaurants,CA,Coffee shop purchase,0,20,12,10,0,0,0,0,0,0,0
TX000149,CUST0060,2025-01-15 05:28:00,78.9,Groceries,CA,Grocery shopping trip,0,21,9,10,0,0,0,0,0,0,0
TX000150,CUST0062,2025-01-16 06:27:00,45.0,Subscriptions,CA,Monthly streaming subscription,0,30,16,10,0,0,0,1,0,0,1
TX000151,CUST0128,2025-01-16 07:26:00,68.3,Gas Station,CA,Gas station fill-up,0,19,23,10,0,0,0,0,0,0,0
TX000152,CUST0130,2025-01-16 08:46:00,45.99,Subscriptions,CA,Mobile phone bill,0,17,11,9,0,0,0,1,0,0,0
TX000153,CUST0114,2025-01-16 09:12:00,1560.25,Electronics,DE,High-value electronics shipment,1,31,12,10,0,0,0,0,0,0,0
TX000154,CUST0102,2025-01-16 10:40:00,10.0,Entertainment,CA,Movie ticket purchase,0,21,16,10,0,0,0,0,0,0,0
TX000155,CUST0018,2025-01-16 11:31:00,6.75,Restaurants,CA,Coffee shop purchase,0,20,15,10,0,0,0,0,0,0,0
TX000156,CUST0127,2025-01-16 12:09:00,90.5,Groceries,CA,Grocery shopping trip,0,21,14,10,0,0,0,0,0,0,0
TX000157,CUST0160,2025-01-16 13:56:00,52.8,Gas Station,CA,Gas station fill-up,0,19,12,10,0,0,0,0,0,0,0
TX000158,CUST0195,2025-01-16 14:36:00,12.99,Restaurants,CA,Fast food meal,0,14,11,10,0,0,0,0,0,0,0
TX000159,CUST0043,2025-01-16 15:52:00,89.2,Groceries,CA,Grocery shopping trip,0,21,16,10,0,0,0,0,0,0,0
TX000160,CUST0007,2025-01-17 16:49:00,350.0,Online Retail,CA,Online book order,0,17,11,10,0,0,0,0,0,0,0
TX000161,CUST0062,2025-01-17 17:18:00,15.0,Transport,CA,Bus ticket fare,0,15,16,10,0,0,0,0,0,0,0
TX000162,CUST0120,2025-01-17 18:38:00,55.0,Groceries,CA,Grocery shopping trip,0,21,13,10,0,0,0,0,0,0,0
TX000163,CUST0128,2025-01-17 19:56:00,389.99,Online Retail,FR,International gadget procurement,1,32,23,10,0,0,0,0,0,0,0
TX000164,CUST0052,2025-01-17 20:37:00,47.5,Healthcare,CA,Doctor's visit co-pay,0,21,11,10,0,0,0,0,0,0,0
TX000165,CUST0048,2025-01-17 21:00:00,14.5,Restaurants,CA,Coffee shop purchase,0,20,9,10,0,0,0,0,0,0,0
TX000166,CUST0118,2025-01-17 22:41:00,7.0,Transport,CA,Parking fee payment,0,19,18,10,0,0,0,0,0,0,0
TX000167,CUST0001,2025-01-17 23:38:00,28.99,Entertainment,CA,Kids toy store purchase,0,23,14,10,0,0,0,0,0,0,0
